Time,"Albany, New York (%)","Bronx, New York (%)","Broome, New York (%)","Cattaraugus, New York (%)","Cayuga, New York (%)","Chautauqua, New York (%)","Chemung, New York (%)","Chenango, New York (%)","Clinton, New York (%)","Columbia, New York (%)","Cortland, New York (%)","Delaware, New York (%)","Dutchess, New York (%)","Erie, New York (%)","Essex, New York (%)","Franklin, New York (%)","Fulton, New York (%)","Genesee, New York (%)","Greene, New York (%)","Herkimer, New York (%)","Jefferson, New York (%)","Kings, New York (%)","Livingston, New York (%)","Madison, New York (%)","Monroe, New York (%)","Montgomery, New York (%)","Nassau, New York (%)","New York, New York (%)","Niagara, New York (%)","Oneida, New York (%)","Onondaga, New York (%)","Ontario, New York (%)","Orange, New York (%)","Orleans, New York (%)","Oswego, New York (%)","Otsego, New York (%)","Putnam, New York (%)","Queens, New York (%)","Rensselaer, New York (%)","Richmond, New York (%)","Rockland, New York (%)","Saint Lawrence, New York (%)","Saratoga, New York (%)","Schenectady, New York (%)","Schoharie, New York (%)","Seneca, New York (%)","Steuben, New York (%)","Suffolk, New York (%)","Sullivan, New York (%)","Tioga, New York (%)","Tompkins, New York (%)","Ulster, New York (%)","Warren, New York (%)","Washington, New York (%)","Wayne, New York (%)","Westchester, New York (%)","Wyoming, New York (%)","Yates, New York (%)"
Aug-09,198100,358200,108500,71700,101000,75200,81700,82100,107400,210700,98800,124400,269600,120500,134600,79500,101200,95300,167000,84900,110400,465700,110900,108400,124000,98900,400800,5991300,97400,102500,121200,136200,256700,83300,85800,121700,351400,444100,167100,392400,413700,68400,227300,160300,124800,86400,78200,355200,155200,100100,160600,217500,185700,126500,103400,533200,94200,110800
Sep-09,198200,357100,108100,71900,101600,75200,82000,82000,107300,212300,98900,126200,267300,120700,135800,79100,101500,95200,166600,85200,110700,466700,111200,108500,124100,99600,400300,5980600,97200,102000,121300,135900,254700,83600,86000,121800,348600,443500,167600,392300,411100,68100,227800,160100,124300,86500,78600,355300,154700,100500,160800,215700,185900,126900,103600,530900,94100,110500
Oct-09,198500,357300,107700,71900,102200,75100,82300,82200,107500,213900,99000,127800,265500,121000,137400,78800,101500,95100,166200,85500,111100,469100,111400,108600,124200,100200,400700,5962900,97000,101700,121500,135600,253100,83800,86200,121900,345900,443700,168000,392600,409700,67900,228300,159900,124000,86600,79100,355500,153700,101100,161100,213300,186200,127500,103800,530100,93900,110200
Nov-09,199200,359700,107500,71900,102800,75100,82500,82300,107700,215000,99100,129000,264300,121300,139500,78500,101600,95200,165700,85600,111400,471900,111400,108700,124400,100900,401600,5951900,96700,101500,121500,135200,252200,84000,86400,121900,344000,445100,168400,392900,409200,67600,228800,159500,123800,86500,79500,355500,152400,101500,161500,211200,186400,128000,104000,530000,93700,110000
Dec-09,199800,361400,107600,71700,103300,75100,82700,82700,107800,216800,99200,130000,263400,121500,139300,78200,101400,95600,165100,85800,111700,476200,111600,108800,124800,101700,402500,5956000,96800,101600,121500,135200,251200,84000,86600,122000,343600,447600,168900,393800,409700,67300,228700,159300,123500,86500,79900,355100,150400,101800,162600,209900,186500,128700,104300,530700,93600,110100
Jan-10,200400,361700,107700,71600,103600,75100,82900,83600,107900,218200,99300,130700,262800,121700,139100,77800,100700,96200,164800,86000,112000,479700,112000,108900,125000,102100,403100,5976700,96700,101800,121500,135300,250600,84300,86600,122100,343800,449500,169200,394500,410500,67200,228700,159300,123100,86700,80100,355200,149300,101700,163600,209200,186800,129000,104600,531800,93600,110300
Feb-10,201100,362000,107900,71700,103800,75200,83000,84100,108300,219000,99400,131800,263100,121700,141900,78000,100900,96500,164800,86100,112200,480900,111900,109000,125000,102200,403900,6006600,96500,101700,121600,135200,251000,84500,86700,122600,343800,449800,169400,394400,411300,67400,229300,159500,123200,86700,80300,356700,150000,101900,163900,209200,187300,129300,104700,532300,93700,110200
Mar-10,201200,361300,107800,71600,103500,75100,83000,83700,108200,217600,99700,129200,263000,121800,141100,78400,100300,96600,163800,86100,112700,475300,112000,109100,125000,101700,404100,5980800,96700,101400,121500,135100,250700,84900,86800,121400,342200,449200,169400,395000,412400,67800,229700,159500,123100,86900,80300,356800,149300,102200,163900,209200,187300,130000,105200,532400,93600,110300
Apr-10,200700,358800,107600,71100,102400,74600,83000,83400,108000,214900,100000,124500,261900,122000,135500,78200,98500,96600,161200,86200,114100,466000,112700,109200,125200,100400,402900,5890000,97600,101600,121000,135500,248500,85200,86800,118900,338600,447500,169400,395900,413800,68500,229400,159300,122500,87300,80000,355100,146900,101400,164300,209200,187100,130700,106000,532900,93700,110800
May-10,200300,358100,107100,70600,101200,73800,83000,83300,108200,211400,99900,122700,260400,122200,132800,78600,97700,96700,158600,86500,115900,461900,113200,109200,125400,98900,401900,5859400,98400,102200,120800,136000,246000,85200,86500,117900,335100,446300,169800,395600,414200,69000,229100,158800,122100,87900,79800,353600,145200,99900,164600,209800,187000,130700,106800,533500,94000,111500
Jun-10,200000,359900,106300,70300,100600,73300,83100,83400,108500,209000,99700,123900,258800,122500,133900,80000,98700,97000,158200,86700,117400,466600,113300,109100,125500,98000,402700,5916400,98600,103100,120700,136400,245100,84700,86300,118500,333400,447700,170400,395600,413500,69200,229000,158500,122200,88400,79900,353400,144700,99700,164800,210700,186700,130500,107400,532900,94100,112100
Jul-10,199300,361800,105300,70000,100000,73000,83200,83300,108800,207800,99600,123800,257000,122900,134300,81200,99000,97400,158500,86700,117600,469500,113200,108800,125300,97400,403600,5954300,98900,104000,120400,136600,244800,84400,86000,118900,332900,449900,170700,397000,412900,69600,228900,158000,121900,88900,80100,352300,145000,100300,165000,210800,185700,130600,107400,532300,93900,112500
Aug-10,198400,362200,104500,69900,99900,72800,83300,83100,109300,206900,99000,122800,255300,123000,134400,81500,98900,97300,157900,86500,117500,467800,113100,108400,124600,96400,403200,5921400,99200,104500,120200,136600,243900,84200,85800,118700,333600,448500,170100,398400,411800,70200,228800,157100,121300,89000,80000,350200,145300,100300,164800,210900,184000,130700,107000,531700,93700,112500
Sep-10,197600,361400,103500,69700,100100,72700,83100,82500,109300,205000,98100,121100,253600,123000,134000,81000,98600,96800,157100,86100,118100,463900,113100,108100,124100,94700,401200,5877700,99600,104600,120100,136400,242100,84500,85900,118200,335300,443700,169000,398800,409500,70800,228600,156400,120600,88800,79700,347100,144600,99900,164700,211000,182500,130400,106700,528600,93600,112200
Oct-10,196500,360800,102400,69500,100300,72700,83200,82200,108900,201700,98000,121400,251900,123000,133200,80300,98400,96500,157000,85800,119000,462500,113200,108200,123800,93500,399500,5870200,99600,104200,119800,136400,240400,84700,85900,118200,335500,440400,168600,398000,407600,71500,228200,156000,119800,88400,79700,345000,144300,100000,164600,210300,181900,129800,106300,525300,93500,111800
Nov-10,194800,351200,102000,69700,100600,73000,83300,82100,108600,198800,98500,123500,250800,123100,131900,79600,98100,96400,157200,85700,119400,463200,113100,108500,123500,91900,397700,5926200,99400,103700,119500,136000,238200,84900,85900,118100,334200,437200,167800,396200,406400,72400,228100,156000,118700,87900,79700,343700,144800,100700,164500,209400,181600,129400,105900,524100,92900,111300
Dec-10,193300,340000,102500,70100,100800,73200,83500,82700,108600,197400,98900,125000,250200,123300,131000,78600,97300,96200,157700,85200,119700,463800,113200,108900,123000,89800,395000,5996800,99300,103000,119000,135700,236000,85000,86200,117000,331400,435000,166600,394400,405200,73600,227900,155800,117600,87400,79800,341300,144100,101500,164600,209000,181400,128400,105900,523700,92400,110700
Jan-11,192200,340000,103000,70700,100600,73300,83700,83500,109100,196800,99200,124400,249400,123300,130100,77400,96700,96200,157600,84200,119800,463000,113500,109100,122800,88700,392100,6010200,99300,102400,118300,135900,234900,84900,86200,116100,326900,434600,165600,392900,404000,73500,227900,155400,116400,87100,80100,336800,141300,102100,165000,208300,180900,126600,105900,521400,92400,109900
Feb-11,191600,347900,102900,71100,100100,73100,83900,83900,109800,195700,99500,123700,247700,123200,128900,76100,96500,96400,156000,83200,119600,466100,113600,109100,122600,88400,389800,5994700,99200,102000,118000,136200,233700,84900,85900,116200,322100,436700,165200,390700,401800,71800,227700,154300,115200,86800,80300,332400,138000,102900,165000,206600,179800,124800,105800,517900,92300,109600
Mar-11,191700,350400,102200,71200,99500,73000,84000,83200,110100,196600,99700,123500,245700,123000,128000,75400,97000,96400,153500,82500,119800,473800,113400,108800,122500,89100,387700,6041700,98900,101800,118100,136200,232000,84900,85600,116800,318800,438100,164900,384800,398400,69900,227000,152800,114200,86600,80600,329200,136500,103200,164100,203300,179300,123800,105500,514300,91800,109200
Apr-11,191900,349800,101500,71300,99000,73200,84000,82900,109800,200000,99900,124200,244700,122700,127200,75800,97600,96200,151300,82300,119100,481800,113500,108600,122400,90800,386200,6127200,98500,101600,118200,135700,230900,84900,85600,117700,316400,440100,164900,378600,395800,69000,226400,151600,113300,86300,81100,328600,135100,103000,163300,199300,179800,123500,105200,510100,91300,108500
May-11,192300,347600,101100,71600,99100,73600,84100,83600,109200,203700,100300,124600,243300,122500,126000,76800,97700,96100,150000,82200,117200,485400,113800,108700,122000,92200,385100,6160100,97700,101500,118300,135000,230000,84900,85400,119000,314300,442300,164400,376000,393500,68700,226200,151600,112700,85900,81500,330700,132900,103000,163000,195500,180300,123200,105000,505400,91200,107600
Jun-11,193600,344600,100800,71500,99400,73700,84300,84900,108700,205600,100700,123900,240600,122300,125000,77700,97200,95600,149300,81900,115800,486500,114000,108800,121600,92500,384300,6185500,96900,101000,118400,134200,228400,84900,85000,119800,313200,442300,163600,374900,391300,68700,225700,151500,112300,85800,81800,332200,131000,102800,162900,194200,179800,123100,104600,503600,91100,107300
Jul-11,194400,342700,100700,71200,99600,73400,84600,85300,108500,204600,100900,122400,238000,121900,124600,78400,96800,95000,150000,81800,115800,487500,114200,108700,121700,92200,383700,6241900,96300,100300,118500,133700,226900,84800,84700,119900,313500,439200,162700,372500,388500,68900,225000,150800,112000,85800,82000,331700,130200,102100,162900,194100,178800,123000,104400,503800,90800,107400
Aug-11,194200,342000,100700,70700,99800,73200,85000,85200,108200,201400,100900,120900,236700,121700,124500,79100,96300,95300,151600,81800,116100,488200,113900,108300,121800,92000,382800,6295700,96000,100300,118400,133600,226300,85100,84700,119600,313100,438600,162300,370400,386000,69400,224400,149900,112000,85700,82100,330500,129500,101600,162600,192800,177600,122500,104400,502800,90600,107700
Sep-11,193700,341400,100800,70500,100000,73200,85500,84800,108000,199600,101100,119900,236500,121600,124600,80000,96200,96200,152400,82200,116600,487700,113700,107700,121900,92000,381500,6286700,96200,100600,118200,133800,225900,85300,85000,119400,309900,442600,162100,369100,384800,70000,223800,149600,112400,85800,82400,329300,129100,101500,162100,189500,176800,122200,104600,501800,90800,108100
Oct-11,193700,340200,101400,70700,99800,73000,86000,84700,108100,199300,101100,118400,236200,121600,124500,80700,97000,96600,152400,82700,116800,486500,113900,107200,122000,91700,380200,6225000,96800,100800,117900,134100,224900,85200,85400,118900,306100,444600,162200,368100,384100,70500,223200,149700,112500,85400,82600,327700,128000,101400,161800,186800,176200,123000,104700,501800,91000,108500
Nov-11,193600,339700,101900,70900,99800,72700,86400,84700,108200,199400,100900,115400,234000,121500,124500,81600,98400,96800,153300,83000,117000,485400,113900,106600,122300,90800,378400,6170200,97200,100700,117700,134900,223700,85100,85800,118400,304200,442200,162500,367700,382700,70600,222600,149700,112700,84700,82800,326700,127300,101200,161500,184500,176600,123900,104900,501200,91000,108700
Dec-11,193400,338100,101800,71000,100100,72300,86800,83700,108200,199700,100500,112700,230800,121100,125000,82500,99400,97000,154300,83200,117500,484200,114200,106300,122500,89900,376500,6163500,97300,100600,118200,135400,223200,85400,86300,118100,304600,437100,162600,367200,381300,70400,222200,149200,113000,84200,83100,327200,128300,100900,161400,183100,176800,124500,104900,497400,91000,108700
Jan-12,192400,335000,101200,70900,100200,72100,87200,81300,107800,201100,100000,112200,228600,121000,125500,83800,100000,97000,154900,83400,118600,483200,114900,106100,122700,89300,375600,6222400,97500,100700,119000,135100,221900,85500,86600,117200,305900,432800,162600,366000,379200,70500,222000,148700,113400,84400,83400,327100,130400,100700,162400,181900,177000,125400,104600,492000,90800,108800
Feb-12,190800,331300,100600,70800,99800,72100,87700,80500,107000,201000,99100,112400,227700,121200,125400,83700,99800,96600,155600,83400,119600,482900,115400,106000,122600,88900,375200,6318000,98000,100900,119000,134600,219600,85600,87000,115800,306200,428800,162400,364900,376200,71000,222000,148900,113700,84700,83500,325200,131500,100000,163400,180100,178000,126400,104400,489700,90900,109100
Mar-12,189600,328900,100400,70600,99900,72000,88000,83400,106300,199400,97800,112900,227000,121300,125300,81600,99100,96400,156200,83300,120000,483000,115600,106100,122300,88600,374700,6360200,98400,101100,118700,134600,217100,85700,87800,115500,306700,426300,162500,365300,371700,71300,222100,149400,113800,84700,83700,324800,131400,98700,163800,178500,179900,126100,104400,491000,91100,109500
Apr-12,189800,327100,100800,70600,100500,72100,88300,85300,106600,198200,96800,113400,226300,121300,125400,79000,98500,96800,155900,83100,120500,482700,116000,106000,122300,88100,374700,6349000,98900,101100,118500,135100,215700,86100,88400,116600,306900,423900,162500,366800,367700,71500,221900,150000,114000,84700,84100,326200,130800,97500,164400,177300,180900,124800,104600,492400,91200,110100
May-12,190200,326000,100900,70600,101300,72400,88600,83400,107700,198300,96400,113900,226000,121500,125000,77600,98000,97000,155400,83000,121900,482400,116100,105800,122300,87600,376600,6416400,99500,101400,118200,135800,215400,86600,88600,117300,304000,422300,162400,368900,367900,71900,221300,150600,114300,85100,84400,326600,129500,96800,165300,176600,180900,124100,104900,493500,91100,110800
Jun-12,190400,325200,100800,70500,102000,72800,89000,80300,109000,197700,96400,114400,226200,121600,124400,76400,97500,97100,154400,82800,123300,482000,115800,106000,122200,87200,378400,6587900,100200,101900,118100,136100,215400,87400,88800,117000,299800,422700,161900,371300,370900,72300,221100,151100,114600,85400,84400,325300,126700,96700,165600,176200,180800,124100,105300,494500,91200,111100
Jul-12,190300,324000,100800,70200,102600,73200,89300,79900,109700,196500,96500,115100,226100,121600,124000,75900,97500,97200,152900,82700,124300,482400,115500,106800,122100,86800,378800,6717300,100300,102200,118200,136000,214900,86800,88900,116700,297800,424800,161600,372800,373000,72600,221100,151300,114900,85500,84400,323900,124000,98100,165800,176300,181100,124200,105800,494700,91200,111400
Aug-12,190800,322900,100900,69900,103200,73600,89500,82200,109900,195100,97400,115500,225100,121800,123600,76000,97900,97300,152000,82700,125300,483600,115200,108000,122300,86900,378800,6737400,100100,102300,118200,135900,214200,84200,88700,116600,296400,426700,161300,372200,373600,72500,220600,151500,115100,85900,84500,322400,122700,100100,166400,177100,181800,124200,106300,494400,91300,111800
Sep-12,191500,320800,101300,69700,103700,74000,89800,85400,109900,194000,98800,115900,223300,122100,123000,76100,98000,97200,152000,83000,126400,485900,114800,109200,122600,87100,378700,6761500,99600,102300,118000,136100,214000,81700,87900,116400,296000,429100,161000,371300,373200,72500,220500,151500,115000,86600,84700,322200,122000,101000,167000,177500,182300,124400,106600,493900,91400,112300
Oct-12,192200,317400,101400,69400,104100,74000,89900,86800,109600,194100,99800,116000,221900,122400,122700,76400,97800,97200,151900,83200,127400,489100,114600,110200,122400,87100,378100,6862900,99000,102200,118200,136300,214400,80800,87000,116100,297900,431700,160700,371000,372200,72700,220900,151700,114800,87100,84800,322600,120900,101000,167400,176800,182000,124500,106800,492500,91600,112700
Nov-12,193000,318400,101400,68900,104000,73700,89800,87200,109200,195200,100200,116800,221300,122500,122500,76800,97600,97300,151200,83200,128200,492300,114300,110400,122000,87200,377700,6936400,98700,102200,118500,136100,214700,80300,86200,115900,301100,434400,160800,371100,372200,72800,221700,152000,114700,86700,85000,322800,120500,101200,167600,176800,181700,124600,107000,491000,91200,113200
Dec-12,193400,323100,101300,68300,103800,73600,89800,87900,108900,196400,100100,117200,220800,122800,122700,76700,97500,97300,150800,83600,128300,494100,114600,110600,121900,87600,378000,6921700,99000,102300,118400,135900,214000,80100,85800,116000,301200,437300,161100,371300,372700,72800,222500,152300,114800,86400,85200,323000,121100,101800,168300,178100,181900,124600,107200,490200,90900,113600
Jan-13,193400,325200,101400,67900,103600,73700,89600,88900,108500,197300,99900,116400,219800,123200,123000,76400,97500,97100,151000,84000,128300,495600,115100,111300,122000,88000,379600,6881900,99500,102400,118400,135900,213300,80100,86200,115800,300800,439900,161300,371900,372300,73100,223300,152100,114800,86800,85400,324000,121000,102600,169400,179400,181600,124400,107200,492200,91000,113800
Feb-13,193500,325700,101200,67500,103600,73800,89200,89200,108100,198600,99700,115100,217700,123700,122400,76700,97500,96900,151200,83800,128200,495800,115100,112000,122300,88100,382200,6879100,99800,102600,118500,136100,212900,80400,86700,115800,303300,442300,161400,372800,372400,73400,224000,152000,114600,87500,85600,325700,121900,103500,170000,180700,180500,124100,107200,496500,91300,114000
Mar-13,193800,329200,100800,67200,104000,74200,89100,88600,108300,199200,99900,115000,215500,124100,123700,77600,97800,97100,152100,83300,127800,496100,115100,112500,122700,88100,384400,6907400,99800,102900,118700,136200,213200,80500,86500,115900,306200,445400,161700,374400,373900,73700,224700,152200,114700,87900,85700,327200,125000,104600,169700,182200,179100,123700,107300,499800,91400,114400
Apr-13,193800,334100,100500,66900,104400,74500,89400,88100,108900,198400,100000,115300,214800,124500,128600,78100,98200,97600,154100,83000,127400,499600,115800,112900,123000,88500,384900,6925600,99500,102900,119200,136100,213700,80700,86500,115400,305800,449400,162000,375300,375500,73600,226100,152500,114900,88200,85900,327900,127400,106300,169200,183600,178800,123500,107400,500000,91500,114800
May-13,193700,338500,100600,66600,104600,74500,89700,88200,109000,197500,100300,115500,215800,125100,133500,78000,98400,97700,155500,82600,126800,506200,116300,113200,123400,89400,384500,6911500,99300,102600,120000,136200,214000,80900,87600,114400,306600,454200,162200,375600,375400,73600,227500,152400,114900,88100,86200,328800,128300,108500,169600,184400,179300,124000,107600,501300,91700,115200
Jun-13,193700,341900,101100,66600,104900,74600,89800,88600,108800,197600,100400,115400,217900,125800,135700,77400,98600,97700,155600,82600,126000,511700,116400,113300,124100,90000,384800,6872600,99500,102200,120300,136500,213800,80700,88700,113800,309200,458800,162500,376100,375000,73600,228200,151900,115200,87700,86500,330500,129500,109900,170000,183800,180200,124500,107800,504400,91900,115600
Jul-13,194200,344400,101500,67500,105400,74800,90000,88900,109000,198700,100400,115400,220200,126200,137100,77100,98400,98000,155300,82900,125300,516000,116600,113200,124400,90800,386700,6836000,100300,102500,120200,136900,214300,81300,89200,113800,310200,461800,162900,377700,376000,73300,228600,151300,115400,87500,86400,333000,130200,110200,170500,182100,181200,124100,107900,505500,92000,115800
Aug-13,195100,347000,101700,68300,105700,74700,90200,88700,109400,201200,100500,115400,222400,126600,138100,77000,98000,98600,154900,82900,124500,519900,116900,113100,124400,91800,388700,6859100,101200,103100,119900,137200,215200,83000,89400,114400,308100,464400,163400,379800,378300,72900,229500,151200,115600,87000,86400,335900,130400,110200,171600,179300,182400,124100,108100,504700,92100,115900
Sep-13,195700,350200,101900,68700,105600,74800,90200,88800,110000,204000,100600,115500,224500,127200,138700,77100,98000,98900,154900,82500,123800,524000,117200,113400,124400,92500,390700,6962500,101900,103800,119600,137500,215900,84600,89500,115100,306200,467000,163800,381000,380600,72600,230500,151500,115800,85800,86600,337400,132200,110200,174000,180000,183300,125200,108200,505000,92100,116500
Oct-13,195800,353000,101600,68900,105500,75100,90300,89200,110700,206300,101000,115200,225900,127600,138800,77200,98000,99400,154700,82300,123500,526800,117700,113700,124700,92600,393200,7077100,102600,104500,119600,137800,215900,85100,89500,115700,305300,470400,163800,380900,382600,72400,230800,151800,116300,86300,86800,337600,135200,109800,176100,184900,184200,126600,108100,506700,91800,116800
Nov-13,195700,355300,100800,69300,105400,75300,90700,90200,111400,208900,101400,114600,227200,128000,139000,76800,97600,100300,154500,82700,123400,528900,118200,114000,125000,92900,396100,7133000,103500,105100,119700,138400,215600,85000,89500,116000,303800,474800,163700,381900,384200,72200,230800,151900,116800,89100,86900,338100,136700,108900,177800,189400,184400,127000,108100,509400,91600,116900
Dec-13,195700,357700,99400,69700,105100,75500,91100,89700,112200,208300,101700,114500,229500,128500,139500,78100,97200,101300,154500,83700,123400,532200,116700,114100,125300,93300,399200,7154200,104100,105400,119700,138700,215500,84500,89300,116200,302300,479400,163500,383600,385300,71900,230700,152000,117000,92300,87100,338800,136700,108400,175800,190400,184600,127600,108100,513500,91400,117000
Jan-14,196000,359700,98600,69800,105100,75600,91200,87200,112800,203700,102200,114700,231300,128800,139500,80400,97400,102000,154700,84300,123500,536900,114900,114100,125500,93600,401800,7145900,104300,105700,120000,139000,215600,84300,89000,116700,303200,483400,163300,384300,386200,71500,229900,152000,117500,93900,87600,339100,136700,108400,169500,191600,185100,128500,108400,517600,91600,117200
Feb-14,196500,360600,98300,69800,105500,75500,91100,84500,113400,199700,103300,114800,231700,129000,138700,81000,97800,103000,154800,85800,123400,540500,116200,114200,125900,93900,402400,7167500,104600,106000,120400,139200,215900,84300,88800,117300,306400,487200,163300,385600,386900,71500,229500,151900,118100,94200,88200,339200,136500,108700,166200,193000,185800,129200,108900,519000,91900,117400
Mar-14,197000,361500,98500,69700,105700,75200,91000,83000,113900,198300,104100,115100,232600,129200,137700,80200,98100,103200,155200,87700,123100,543200,117800,114400,126400,93600,401400,7274200,105100,106100,120700,139300,216500,84100,89100,117100,308900,490800,163800,388000,389200,71500,230600,151500,118900,93400,88200,339900,135200,108600,169300,193800,185700,129600,109300,518900,92200,117500
Apr-14,197300,363200,98500,69500,105800,75100,90900,82400,114100,197600,104500,115700,233100,129400,137400,80100,98500,102100,156200,88500,122900,545300,115300,114700,126600,92800,402700,7477800,105500,106100,120800,139200,217000,83900,89300,116400,311100,493800,164300,390100,392600,71600,232200,151100,119600,93000,87500,340700,134800,108000,173200,193900,184500,129900,109500,520500,92400,117500
May-14,197500,364500,98400,69500,105900,75200,90800,82700,114200,197300,104800,115900,232000,129400,137200,79500,98600,101500,157400,88000,122700,546700,114100,115400,126600,92000,406300,7666800,106100,105900,120800,139100,217000,83700,89100,116100,312900,495700,165100,391400,395900,71400,232900,150400,120000,93500,86500,341200,135500,107300,175100,194100,183300,129700,109800,523000,92600,117400
Jun-14,197400,364900,98700,69500,106000,75400,90600,83300,114200,197600,105000,116100,230700,129400,136500,78900,98400,102000,158300,87600,122900,547600,114900,116100,126600,91700,409400,7729500,106800,105600,121000,139000,216500,83600,89000,116300,312500,496800,165700,392900,397800,71300,233300,150000,120300,93800,86200,340800,135700,107200,176800,194700,183100,129600,110100,523500,92700,117800
Jul-14,197500,366000,99400,69600,105600,75400,90200,83800,114200,198100,105200,116400,231100,129700,135800,78600,98200,102000,158900,87300,123900,549900,115900,116600,126300,91600,411800,7719900,107300,105200,121300,139200,215000,83600,89500,116600,310800,499600,165800,395000,399400,71300,233200,150300,120500,93700,86600,340300,135000,107500,177900,195700,183300,130000,110500,524500,92900,118400
Aug-14,197800,367700,100000,69900,105200,75400,89800,83700,114300,198500,105400,116500,232100,130100,135600,78300,98300,101300,158500,87100,124800,554900,117400,116600,125400,91400,415400,7781200,107400,104800,121700,139300,213500,84000,90100,116700,310400,503800,165600,398000,400500,71500,232900,151000,120600,93900,87400,339800,133500,107700,178400,196800,182800,131000,110900,528900,93100,119000
Sep-14,198100,369000,100200,70300,105400,75400,89800,83500,114500,198800,105900,116600,232500,130100,136200,78000,98600,100500,157900,86900,124300,561000,118600,116500,124600,91200,418700,7877900,107200,104600,122100,139300,212700,84400,90400,116600,311300,506400,165700,401300,401100,71700,232700,151200,120500,94500,87800,340000,130800,107900,178500,197200,183200,130800,111200,534100,93200,119400
Oct-14,198200,369900,100500,70600,105900,75400,89700,83700,114600,199000,106100,116700,232300,129900,136700,77900,98400,99900,158100,86500,123200,566300,118300,116400,124100,91300,420200,7986700,107100,104700,122100,139300,212800,84700,91000,116800,312100,508800,165900,404100,400900,71800,233200,150600,120700,94700,87800,340200,128700,108200,178200,197100,184400,128900,111500,537700,93900,119800
Nov-14,197600,371600,100700,70800,106100,75200,89600,83700,114800,198800,105400,116600,231400,129900,136800,77800,97900,99000,158200,86400,123100,571300,119500,116300,123900,91700,421400,8086300,107200,104900,121900,139700,213100,85400,91200,116900,312800,513000,166000,405700,400200,72000,233800,150200,120700,94900,87600,339700,127400,108900,177800,195400,185500,127200,111300,540000,96300,120300
Dec-14,197500,372600,100700,70900,106200,75000,89300,84000,114700,198600,104300,116500,230100,130200,136100,77500,97600,98500,157600,86400,123400,575900,121000,116200,123500,91700,422800,8232400,107300,105200,121900,140200,213800,85800,90700,117000,313900,517300,166200,407200,399600,72100,234800,150500,120500,93800,87100,338800,127500,108800,178000,191700,185600,126800,110900,541900,98000,120900
Jan-15,198400,372400,100600,70600,107200,74900,89000,84800,114400,198900,103900,116800,229100,130700,134700,77000,97500,99100,156900,86500,122800,579200,120100,116200,123400,91300,423000,8353900,107700,105200,121800,140400,214300,85100,90000,117000,314200,521500,166300,410300,400700,72200,236000,150700,120500,91100,86500,339000,129600,107200,179300,187600,185100,127000,110700,543600,97200,121700
Feb-15,198700,371000,100400,70500,108200,75000,89100,85600,114300,199700,104200,117300,229100,131200,134500,77100,97600,100200,156600,86700,122200,580100,118400,116500,123500,90700,422600,8377100,108000,105300,121900,141100,215000,84300,89800,117100,312300,525800,166300,413600,402400,72400,236900,150500,120700,88600,86100,339500,131800,105300,180000,185200,184500,127900,110700,543400,95800,122400
Mar-15,198300,369900,99600,70600,108600,75200,89300,85800,114400,200400,104500,117900,229000,131700,136100,77700,98200,100800,156700,86800,122100,582000,117700,116800,123700,90500,424000,8331700,107800,106000,122000,142300,215900,84100,90200,117300,309300,530000,165900,415600,402000,72800,236500,150100,120800,88200,86200,339200,132400,105000,180000,184100,184600,129200,110700,542300,95600,123000
Apr-15,198400,369100,98800,70700,108100,75400,89500,85900,114500,201100,104500,118400,229100,132300,136800,79200,99200,101200,156800,86900,123000,587100,118000,116800,124100,90400,426400,8394700,107700,106900,122200,143400,216100,84100,90800,117600,307700,534000,165600,416700,399400,73200,236200,149800,121100,88100,86600,339000,133400,105500,180000,183900,185100,130600,111000,542400,95600,123800
May-15,198600,369400,98400,71200,107600,75200,89600,86300,114800,201600,104500,118600,230100,133100,136800,81800,100100,101300,157000,87300,124000,593900,118300,116600,124900,90300,427500,8465400,107600,107400,122400,143900,215600,84200,91000,117900,308200,538000,165300,417900,396300,73400,236800,149800,121300,88100,86700,340000,134600,106000,180400,184600,185600,131700,111300,542500,95400,124700
Jun-15,198500,370500,98200,71600,107300,74900,89800,86600,115700,201900,104700,118500,230900,133800,137700,84300,100800,101500,157300,87700,124400,599800,118200,116400,126200,90500,427600,8504100,107400,107500,122600,144300,215000,84500,91000,117900,309900,542200,164700,418100,395000,73500,237700,150000,121300,88400,86700,341400,135600,106100,181200,184100,186400,132400,111700,542400,95500,125200
Jul-15,198800,371400,97500,71500,107600,74800,89700,86500,116400,202200,105300,118400,230800,134400,138500,85100,101400,101600,157900,88100,123800,606800,118300,116300,127800,91200,428800,8543000,107300,107700,122700,144800,214700,85100,91200,117900,310800,547000,164400,417400,395200,73800,238300,150600,121500,88900,86400,342100,136700,106400,182400,182600,187100,132800,112200,544800,95600,125600
Aug-15,199200,371200,96700,71200,107800,74700,89600,86000,116600,202200,105800,118500,230700,135000,138700,85600,101800,101800,158600,88300,122300,614700,118400,116300,129200,91400,431600,8587800,107400,108100,123100,145500,214400,85500,91600,117700,311000,550800,164700,417100,396900,74000,239500,151400,121900,89500,86000,343500,137600,106500,183200,181800,187600,133000,112700,549800,95700,125900
