Time,Alabama (%),Alaska (%),Arizona (%),Arkansas (%),California (%),Colorado (%),Connecticut (%),Delaware (%),Florida (%),Georgia (%),Hawaii (%),Idaho (%),Illinois (%),Indiana (%),Iowa (%),Kansas (%),Kentucky (%),Louisiana (%),Maine (%),Maryland (%),Massachusetts (%),Michigan (%),Minnesota (%),Mississippi (%),Missouri (%),Montana (%),Nebraska (%),Nevada (%),New Hampshire (%),New Jersey (%),New Mexico (%),New York (%),North Carolina (%),North Dakota (%),Ohio (%),Oklahoma (%),Oregon (%),Pennsylvania (%),Rhode Island (%),South Carolina (%),South Dakota (%),Tennessee (%),Texas (%),Utah (%),Vermont (%),Virginia (%),Washington (%),West Virginia (%),Wisconsin (%),Wyoming (%)
Feb-03,95200,202400,151300,79300,319900,214200,220400,153600,140100,138900,312000,128200,157000,103800,90200,100000,100100,91900,147500,189600,302800,121800,174600,69800,120200,148800,97500,176700,206500,251400,138600,186600,122100,,114300,76400,163600,110200,213500,109600,99700,92700,116300,167800,134500,163300,189100,67200,144200,153600
Mar-03,95500,203100,152100,79400,324300,214700,222900,155400,141400,139300,316300,128600,157600,104200,90400,100000,100600,92100,148700,191900,305900,122000,176000,70000,120700,149300,97900,178200,209000,254400,138900,188900,122400,,114700,76500,164400,111100,217000,109900,98000,93000,116400,168300,135400,164500,190100,68000,145000,153900
Apr-03,95900,204000,152800,79400,329000,215300,225300,157200,142700,139700,320700,129000,158300,104700,90700,100000,101100,92400,150100,194300,308800,122100,177300,70100,121300,149100,98400,179700,211600,257400,139300,191200,122800,,115100,76700,165200,112100,220700,110200,96400,93200,116400,169000,136500,165800,191200,68800,145800,154300
May-03,96300,205100,153400,79600,333800,215700,227900,158900,144200,140100,325100,129500,159100,105000,91100,100100,101500,92800,151600,196600,311600,122400,178500,70200,121800,147900,99000,181500,214200,260500,139900,193300,123400,,115500,76900,166000,113100,224600,110600,95200,93500,116500,169700,137500,167200,192600,69600,146500,154800
Jun-03,96600,206600,154100,79900,338900,216000,230400,160700,145700,140500,329800,130100,160000,105100,91500,100500,101900,93500,153300,199100,314200,122700,179700,70200,122400,145900,99700,183600,216700,263700,140700,195300,124000,,115900,77200,166900,114200,228600,111100,94700,93800,116700,170400,138800,168700,194000,70200,147100,155400
Jul-03,97000,208300,154800,80200,344300,216300,232900,162700,147100,140700,335200,130600,161000,104900,92000,101000,102200,94300,155100,201800,316600,123100,180700,70000,122900,143600,100500,186100,219100,266900,141900,197300,124600,,116300,77600,167800,115200,232500,111600,95000,94100,116900,170900,140200,170400,195600,70600,147800,156300
Aug-03,97300,210000,155500,80500,349900,216500,235400,164700,148600,140900,341400,131100,161900,104600,92500,101500,102500,95200,157100,204500,318900,123700,181700,70000,123300,141700,101300,189100,221400,269900,143300,199200,125100,,116600,78000,168800,116200,236200,112100,96100,94400,117100,171200,141700,172300,197200,70600,148400,157500
Sep-03,97600,211700,156300,80800,355800,216900,237700,166400,150200,141000,348400,131500,162900,104200,92800,101900,102800,96100,159000,207400,321000,124200,182700,69900,123800,140500,102100,192600,223600,272900,144900,201200,125600,,116900,78300,169800,117200,239800,112700,97700,94800,117300,171500,143100,174200,198900,70300,149100,159000
Oct-03,97900,213300,157200,81100,361900,217500,240000,167900,151800,141200,355800,131900,163800,103900,93200,102300,103100,97000,160800,210400,323200,124800,183700,69800,124200,139700,102900,196600,225600,275800,146600,203300,126000,,117200,78600,170800,118100,243200,113300,99600,95200,117600,171600,144400,176100,200600,69800,149800,160600
Nov-03,98300,214800,158000,81500,368100,218200,242200,169300,153500,141500,363300,132100,164800,103700,93500,102500,103500,97800,162500,213600,325400,125200,184800,69800,124700,139300,103700,201100,227500,278600,148100,205500,126500,,117500,78900,171700,119000,246500,113800,101700,95600,118000,171700,145600,178100,202300,69100,150500,162300
Dec-03,98500,215900,159000,81800,374600,218800,244400,170800,155300,141900,370700,132300,165800,103600,93700,102700,103800,98600,164100,216700,327600,125500,185900,69800,125000,139200,104300,206100,229400,281300,149800,207700,127100,,117800,79100,172500,119900,249800,114500,103900,96000,118600,171800,146500,180200,204000,68600,151300,163900
Jan-04,98800,217000,160000,82200,381400,219400,246700,172400,157200,142600,378100,132600,166900,103700,94000,102900,104200,99200,165800,219900,330000,125800,187200,69800,125200,139300,105000,211500,231300,284100,151500,209800,127900,,118200,79400,173400,120900,252900,115200,106200,96500,119300,171900,147500,182400,205900,68400,152200,165600
Feb-04,99200,218000,161200,82700,388800,220000,249000,174200,159200,143400,385800,133000,168100,103900,94400,103300,104600,99800,167600,223300,332400,126200,188600,70000,125400,139600,105700,217300,233200,287100,153300,212000,128700,,118600,79700,174400,121800,255900,115900,108600,96800,120300,171800,148600,184800,207700,68400,153300,167700
Mar-04,99500,219100,162600,83200,396900,220500,251400,176100,161400,144200,394000,133600,169200,104100,94700,103700,105000,100200,169600,226700,334900,126600,190100,70100,125500,140300,106600,223800,235100,290200,154700,214100,129600,,119000,80000,175600,122800,258800,116700,110900,97200,121200,171600,149800,187400,209600,68800,154600,170000
Apr-04,99700,220200,164200,83700,406000,220900,253800,178300,163800,144900,402900,134500,170300,104500,95100,104300,105500,100600,171800,230400,337600,127200,191700,70200,125600,141400,107600,231200,237100,293500,155500,216400,130500,,119400,80300,177100,123900,261900,117300,113200,97600,122200,171300,151300,190400,211700,69300,155900,172300
May-04,100000,221400,166200,84200,415500,221400,256100,180500,166300,145400,412400,135500,171400,104900,95400,104900,105900,101100,174000,234400,340300,127700,193100,70400,125800,142800,108700,239400,239200,297000,155300,218900,131300,,119700,80600,178700,125000,265100,117900,115400,98100,123000,170900,152900,193800,213900,70000,157200,174400
Jun-04,100400,222900,168500,84700,425400,221800,258600,183000,169100,145800,422200,136600,172400,105200,95700,105500,106300,101600,176200,238800,343200,128300,194400,70600,126100,144200,109700,248400,241400,300800,154500,221600,132000,,120000,81000,180600,126200,268400,118400,117400,98700,123700,170600,154500,197400,216400,71000,158400,176100
Jul-04,100800,224600,171200,85100,435100,222400,261200,186000,172200,146400,432200,137700,173500,105500,96100,106100,106700,102200,178100,243600,346100,128800,195600,71200,126300,145600,110500,257900,243700,304800,153700,224600,132600,,120300,81300,182800,127300,271700,119000,118900,99500,124300,170400,156200,201400,219000,72000,159700,177500
Aug-04,101400,226500,174300,85600,444200,222900,263800,189900,175400,147100,441900,138800,174500,105800,96600,107000,107100,102900,179600,248600,348900,129300,196600,72200,126600,146800,111100,267000,245800,308900,153400,227700,133100,,120600,81700,185000,128400,274800,119600,119900,100200,124900,170400,157700,205500,221700,73000,160800,178400
Sep-04,102000,228600,177800,86000,452600,223500,266500,195000,178800,148100,451100,139600,175500,106100,97200,108100,107500,103400,180800,253700,351700,129700,197500,74100,127000,147700,111400,275300,247900,312900,153400,230900,133600,,120900,82100,187400,129500,277700,120300,120500,100900,125500,170600,159300,209600,224500,73900,161700,178700
Oct-04,102600,230800,181700,86600,460500,224100,269300,201100,182200,149000,460100,140500,176500,106400,98000,109300,108000,103800,182200,258800,354600,130300,198400,76800,127400,148700,111600,282500,250000,317000,153500,234000,134000,,121200,82500,189600,130600,280500,121000,120700,101600,126000,171000,160900,213700,227300,74800,162300,178600
Nov-04,103100,233100,185900,87100,467700,224800,272200,206900,185800,149600,469000,141400,177400,106800,99000,110500,108500,104000,184000,263800,357300,130700,199300,79700,127800,149800,111900,288600,252100,320900,153100,237000,134400,,121500,82900,191800,131600,283100,121700,120600,102300,126600,171600,162700,217500,230200,75900,162400,178100
Dec-04,103400,235500,190600,87800,474800,225600,274900,211000,189600,149800,478100,142500,178300,107400,100000,111600,108900,103800,186500,268800,359900,131200,200200,82500,128300,151100,112500,293800,254300,324700,151800,240100,134700,,121800,83100,194000,132500,285800,122400,120400,103000,127100,172300,164600,221400,233100,77200,161600,176900
Jan-05,103300,237900,195500,88500,481700,226300,277600,213000,193600,149700,487200,143700,179100,108200,101000,112500,109100,103600,189400,273700,362600,131700,201200,84900,128900,152300,113400,298600,256500,328400,149900,243000,134900,,122100,83200,196400,133400,288400,123200,120500,103700,127600,173000,166700,225100,235900,78300,160200,174800
Feb-05,102700,240300,200800,89300,488400,227100,280100,213300,197800,149600,496500,144900,179800,109100,101700,113200,109100,103300,192000,278400,365200,132300,202100,86800,129500,153100,114400,303000,258700,332000,148200,245700,135100,,122300,83100,199000,134200,290800,123800,120700,104500,128100,173800,168700,228700,238800,79100,158300,171600
Mar-05,101700,242600,206600,90100,495300,227800,282500,213200,202300,149700,506500,146100,180600,109900,102000,113700,108900,103300,194300,283200,367600,132800,203100,88500,130000,153700,115300,307200,260900,335700,147100,248500,135400,125600,122500,83000,201900,135000,293000,124600,121200,105300,128400,174500,170800,232300,241900,79300,156500,167700
Apr-05,100500,244900,213300,90900,502200,228500,285000,213300,207400,149900,517500,147200,181400,110700,102100,113900,108700,103600,196200,288400,369700,133400,204300,90100,130600,154100,116000,310900,263000,339700,146900,251300,135800,122800,122600,83100,205100,136000,294900,125400,122000,106100,128700,175300,172900,235800,245500,79200,155100,163800
May-05,99400,247100,220800,91600,508900,229300,287400,213700,212600,150400,528900,148400,182400,111400,102200,113900,108700,104000,197800,293800,371300,133900,205400,91800,131100,154500,116300,313900,264700,343700,147300,254100,136300,119900,122800,83400,208500,137100,296600,126200,123100,107000,129000,176000,174800,239100,249400,79000,154400,160600
Jun-05,98600,249000,228800,92200,515400,230000,289900,214100,218100,151000,540400,149800,183500,112100,102600,113600,108800,104700,199000,299100,372500,134300,206400,93700,131700,155300,116300,316100,266200,347600,148200,256800,136900,119100,123100,83800,212100,138200,298000,127000,124500,107900,129200,176700,176600,242100,253600,78900,154300,158400
Jul-05,98000,250900,237100,92800,521400,230800,292400,214500,223600,151800,551300,151600,184700,112800,103000,113200,109000,105600,199900,304300,373200,134700,207400,95600,132300,156300,116300,317900,267500,351500,149300,259400,137500,120400,123400,84200,216200,139400,299100,127800,125900,108800,129500,177600,178300,244900,258100,79100,154700,157000
Aug-05,97500,252800,245100,93500,526800,231500,294700,215200,229100,152500,561100,153900,186000,113400,103400,112800,109200,106700,200600,309100,373500,134900,208300,97300,133000,157500,116300,319400,268400,355300,150400,261900,138300,121500,123700,84700,220600,140600,300000,128600,127200,109800,129700,178600,179700,247300,262400,79600,155300,156200
Sep-05,97100,254800,252300,94200,531600,232300,296700,216100,234200,153200,569600,156800,187400,114000,103700,112400,109500,107900,201200,313500,373500,135100,209200,98500,133700,158700,116400,320800,269300,359100,151600,264200,139000,122200,124000,85100,225500,141800,300700,129200,128300,110700,129900,179800,181000,249500,266500,80100,156000,156000
Oct-05,97000,256900,258600,94900,535800,233100,298500,217400,238900,153900,577200,160100,188800,114400,103900,112200,109800,109000,201800,317400,373400,135200,210200,99300,134300,159800,116600,322100,270100,362800,153200,266300,139800,122700,124300,85400,230900,142900,301000,129900,129200,111700,130100,181000,182200,251400,270400,80500,156600,156000
Nov-05,97100,259000,263700,95600,539500,233700,299800,218900,243200,154600,584100,163400,190100,114700,104100,112100,110200,110200,202100,320800,373000,135300,211100,99900,134800,160700,116900,323300,270800,366300,155200,268100,140600,123100,124500,85700,236600,144000,301100,130600,130000,112600,130300,182300,183200,253100,274000,80800,157200,156200
Dec-05,97600,261000,267800,96400,542600,234400,300700,220700,247100,155400,590500,166400,191300,115000,104200,112000,110600,111400,202100,324000,372200,135400,212000,100400,135300,161500,117400,324500,271100,369500,157400,269600,141500,122700,124600,86100,242100,145000,300900,131300,130800,113500,130500,183700,184200,254600,277500,81000,157800,156700
Jan-06,98400,262700,271100,97000,545500,235100,301300,222700,250800,156000,596300,169000,192400,115000,104300,112000,111100,112600,202000,326900,371200,135300,212800,101100,135800,162300,118000,325700,271100,372400,159600,270900,142400,122700,124700,86600,246500,145900,300600,132100,131700,114300,130700,185200,185000,255900,280800,81100,158400,157500
Feb-06,99700,264300,273700,97500,548100,235800,301700,224900,254100,156600,601400,171400,193400,115000,104400,112100,111600,113700,201900,329400,370200,135200,213100,102100,136200,163100,118500,326900,270800,375000,161600,272000,143300,123500,124800,87100,249600,146800,300500,132900,132800,115000,131100,186800,185900,257000,283900,81200,159000,158600
Mar-06,101400,265800,276100,98000,550500,236400,302200,226800,257400,157300,605600,173900,194500,115000,104600,112300,112000,114600,201800,332000,369000,135200,213100,103400,136600,164100,119100,328300,270400,377700,163700,273000,144100,124700,125000,87600,252200,147700,300300,133800,133800,115800,131400,188700,186600,258100,287100,81200,159500,160100
Apr-06,103500,267400,277800,98400,552600,237000,302700,228400,260500,158100,608700,176600,195700,115100,104900,112500,112400,115300,201700,334700,367700,135100,212800,104900,136900,165200,119500,329600,270000,380200,165700,274000,145000,125500,125100,88000,255200,148600,300200,134700,134900,116500,131900,191000,187200,258900,290500,81400,159900,161800
May-06,105400,269000,278800,98800,554000,237500,302900,229700,263000,158800,610800,179200,196600,115300,105200,112800,112900,115900,201500,337100,366200,134900,212300,106400,137200,166400,119900,330300,269500,382200,167700,275000,145900,126400,125200,88300,258800,149400,299900,135600,135800,117200,132300,193500,187800,259500,293600,81600,160100,163400
Jun-06,107100,270700,278900,99300,554600,237900,303000,230900,264800,159400,612300,181600,197300,115600,105700,113200,113600,116300,201400,339000,364500,134600,211600,107900,137500,167700,120200,330200,269100,383700,169700,275800,146700,126900,125200,88600,262500,150100,299400,136400,136600,117900,132800,196200,188300,259900,296600,81900,160200,165000
Jul-06,108500,272400,278100,99900,554000,238100,302800,232000,265800,160100,613200,183700,198100,115900,106400,113700,114400,116600,201200,340500,362500,134400,210900,109500,137800,169100,120400,329400,268500,384600,171600,276500,147600,126700,125200,89000,265500,150700,298600,137300,137200,118500,133200,199300,188900,260200,299400,82200,160200,166500
Aug-06,109600,274000,276600,100700,552000,238300,302500,232900,266000,160700,613400,185400,198700,116400,107000,114100,115400,116900,201000,341700,360400,134200,210300,111000,138000,170300,120600,327900,267800,384900,173400,277000,148300,126400,125100,89300,267200,151300,297500,138000,137600,119200,133700,202500,189500,260400,301800,82600,160200,168000
Sep-06,110300,275600,274700,101400,549400,238300,302000,233300,265600,161300,613300,186700,199400,116800,107500,114500,116200,117200,200800,342400,358300,134000,209800,112200,138400,171400,120800,325700,267100,384600,175000,277400,149100,126500,125000,89700,267700,151800,296200,138800,137800,119900,134100,205900,190200,260600,304100,83200,160200,169500
Oct-06,110900,276900,272700,102000,546700,238300,301300,233300,264700,161700,612900,187500,199900,117200,108000,114800,116600,117600,200600,342800,356300,133700,209400,113000,138700,172300,121000,323300,266400,384000,176500,277700,149800,126900,124900,90000,267500,152300,294900,139400,138000,120500,134700,209100,190900,260800,306000,83700,160300,171000
Nov-06,111200,278100,270600,102200,543900,238300,300700,233200,263400,162100,612100,188100,200300,117500,108300,115100,116600,118000,200200,342800,354300,133300,209100,113700,139100,173200,121100,320700,265600,383000,177900,277900,150400,127900,124800,90400,267000,152700,293700,140000,138100,120900,135200,212100,191400,261100,307600,84000,160500,172300
Dec-06,111300,279300,268900,102200,541300,238300,300300,233300,261900,162500,611300,188600,200700,117700,108600,115300,116200,118600,199800,342900,352600,132900,208900,114300,139400,173900,121100,318200,264600,382000,179100,278200,151000,128200,124700,90700,266600,153200,292600,140400,138300,121400,135600,215000,191900,261400,309100,84000,160800,173600
Jan-07,111300,280300,267400,102100,538900,238500,300100,233700,260500,162900,610500,188900,201000,117800,108800,115600,115800,119300,199500,342900,351400,132300,208800,114900,139700,174600,121000,315800,263800,381100,180100,278600,151600,128200,124500,91000,266700,153600,291700,140700,138500,121800,136000,217900,192300,261800,310600,83900,161200,174800
Feb-07,111400,281300,265900,101900,536100,238700,300000,234200,258800,163200,609700,189100,201300,117900,109100,116000,115600,119900,199200,342500,350500,131600,208600,115300,139900,175200,121000,313100,263100,380200,180800,278900,152200,129000,124400,91100,267000,154100,290900,140900,138600,122100,136300,220500,192600,262200,311900,83800,161500,176000
Mar-07,111500,282200,264500,101800,533000,239000,299800,234500,257000,163500,608600,189500,201500,118000,109500,116400,115500,120600,198800,342300,349700,131100,208600,115400,140000,175700,121000,310300,262500,379400,181400,279300,152700,130400,124200,91300,267500,154600,290000,141100,138700,122500,136700,223400,192800,262600,313100,83900,161900,177200
Apr-07,111700,283100,263000,101900,529300,239200,299500,234700,255100,163900,607300,190000,201500,118000,109800,117000,115400,121200,198400,342300,348900,130600,208600,115400,140100,176300,121000,307500,262000,378700,181900,279600,153200,131200,124000,91500,268100,155000,288800,141200,138800,122900,137100,226600,192800,263000,314300,84100,162100,178500
May-07,111800,283900,261300,102200,525300,239400,298800,235200,252800,164000,606100,190300,201400,117900,110000,117600,115400,121800,198000,341700,347900,129900,208100,115300,140100,176700,121100,304600,261500,377700,182500,279800,153600,131500,123700,91700,268300,155200,287500,141300,138800,123200,137500,229800,192600,262900,315000,84500,162100,179700
Jun-07,111800,284700,259100,102300,520800,239400,297700,235800,250000,163900,605100,190400,201100,117800,110200,118200,115400,122400,197900,340400,346500,129000,207400,115200,140100,177100,121100,301300,260800,376200,183200,279600,153800,131600,123400,92000,268100,155400,286100,141300,138700,123400,137900,232900,192400,262400,315200,84800,162000,180800
Jul-07,111800,285300,256600,102500,515400,239300,296400,236500,247000,163800,604300,190500,200700,117700,110300,118700,115400,122800,197800,338700,344900,128100,206400,115400,139900,177700,121100,298000,259900,374500,183800,279200,154100,132100,123000,92400,267700,155600,284400,141300,138600,123600,138300,236000,192200,261700,315100,84900,161800,181700
Aug-07,111600,285800,253800,102600,508800,239000,295100,236800,243600,163600,603300,190600,200300,117700,110400,119200,115300,123100,197900,336700,343200,127100,205500,115700,139800,178400,121100,294500,258900,372800,184200,278700,154300,132900,122600,92700,267300,155600,282600,141100,138400,123700,138700,239100,192100,260700,314500,84700,161600,182400
Sep-07,111500,286300,250600,102600,501700,238600,293900,236800,240100,163300,602500,190700,199900,117600,110600,119500,115300,123200,198100,334400,341400,126100,204400,116100,139500,179100,121000,290700,257800,371100,184300,278100,154500,133400,122100,93000,266600,155600,280900,141000,138300,123600,139100,241800,192100,259700,313600,84400,161500,182900
Oct-07,111300,286700,247100,102600,494400,237900,292600,236700,236500,163000,601800,190800,199400,117600,110900,119600,115300,123300,198200,331700,339400,125000,203300,116200,139300,179900,121000,286500,256400,369300,184300,277400,154600,133500,121600,93300,265600,155600,279300,140900,138400,123500,139400,244100,192100,258400,312300,84100,161400,183200
Nov-07,111200,287200,243400,102500,486800,236900,291200,237000,232700,162600,600900,191100,198700,117700,111100,119600,115400,123400,198200,328700,337200,123900,202000,116100,139000,180700,120800,281800,254800,367500,184300,276600,154600,133800,121100,93500,264400,155500,277600,140800,138600,123400,139600,245800,192300,257100,310600,83900,161400,183500
Dec-07,111100,287600,239600,102500,478700,235800,289600,237200,228800,162200,599500,191400,197900,117900,111300,119400,115500,123500,197700,325700,334900,122800,200500,115600,138800,181400,120600,276400,253100,365600,184300,275500,154600,133900,120500,93900,263000,155400,275500,140700,138900,123200,139600,247200,192500,255500,309000,83700,161300,184000
Jan-08,111000,288000,235500,102500,470200,234700,287900,237100,225000,161600,597700,191600,196700,118000,111600,119200,115500,123700,196600,322800,332500,121600,198800,115100,138500,182000,120300,270300,251500,363600,184300,274300,154500,134300,119900,94300,261700,155200,272900,140600,139300,123200,139300,248100,192600,253800,307300,83700,161200,184400
Feb-08,110900,288300,231200,102500,460800,233500,286000,237100,221000,160900,595400,191500,195300,118000,111900,119000,115500,123800,194900,319700,330100,120300,196900,114500,138300,182600,119900,263900,250100,361400,184400,273000,154400,134900,119300,94800,260500,155000,270200,140500,139700,123000,138800,248600,192600,252000,305500,83600,161000,185000
Mar-08,110900,288700,226800,102600,450200,232500,284400,236800,216900,160200,592200,191400,194000,117900,112200,118800,115400,124000,192800,317000,327500,119100,195300,113900,138200,182900,119500,257700,248800,359300,184600,271600,154200,135500,118700,95300,259400,154700,267400,140300,139900,123000,138200,249000,192400,250100,303900,83600,160700,185500
Apr-08,110900,289000,222700,102700,438700,231600,283000,236100,212900,159500,588000,191200,192800,117800,112500,118600,115300,124000,190300,314400,324900,117900,193900,113200,138000,183100,119100,251900,247500,357200,184700,270000,154000,135700,118100,95600,258300,154400,264400,140100,139900,123000,137500,249300,192100,248100,302300,83500,160200,185800
May-08,110700,289200,218900,102500,427200,230800,281600,235600,208800,158600,582900,190500,191400,117600,112500,118400,115100,124000,187800,311300,322400,116400,192300,112500,137700,183200,118800,246100,245900,354500,184400,268300,153700,135800,117400,95600,256700,154000,261400,139800,139700,122800,136700,249200,191400,245900,300300,83200,159600,185700
Jun-08,110400,289100,215200,102100,416200,230200,280000,235400,204700,157400,577200,189500,189900,117200,112300,118100,115000,123900,185700,307300,320000,114700,190500,112000,137300,183100,118600,240100,243900,351200,184000,266400,153200,135600,116700,95600,254400,153400,258500,139400,139500,122400,136000,248700,190600,243600,297900,82800,158800,185400
Jul-08,110000,289100,211700,101800,407000,229500,278000,234800,200600,156100,571300,188100,188100,116800,112100,117900,114700,123900,183900,303200,317800,113000,188700,111700,136800,183100,118500,234200,241900,347700,183500,264600,152700,135300,116100,95500,252000,152900,255600,138900,139400,122000,135400,247800,189700,241400,295100,82500,158100,185100
Aug-08,109500,289100,208300,101300,399600,228800,275800,233700,196600,154700,565300,186500,186200,116200,111800,117600,114400,124000,182400,299100,315900,111400,186800,111700,136300,183100,118400,228800,239900,344200,182800,262500,152000,135100,115600,95300,249500,152500,252800,138200,139500,121400,135000,246600,188900,239500,292000,82200,157400,184700
Sep-08,108900,289200,204800,100900,393400,228200,273600,232000,192600,153300,559600,184800,184300,115600,111600,117300,114100,124000,181000,295500,314400,109800,185000,111600,135900,183200,118300,223800,238200,341000,182100,260400,151400,135100,115200,95100,247100,152100,250300,137500,139600,120900,134600,245300,188100,237800,289100,82000,156800,184200
Oct-08,108500,289400,201300,100400,387300,227700,271600,230900,188700,152000,554100,183200,182600,115000,111500,117100,113900,124100,179600,292100,313100,108200,183400,111500,135500,183200,118300,218900,236600,338000,181500,258300,150800,135200,114800,95000,244900,151700,248000,136900,139800,120400,134200,244000,187200,236100,286400,81800,156200,183800
Nov-08,108100,289600,197800,100100,381500,227400,269800,230500,184800,150700,548500,181600,181000,114400,111400,116900,113800,124200,178400,288800,312000,106700,182000,111300,135100,183200,118300,214000,235000,335100,181000,256400,150400,135200,114400,95000,242800,151400,245900,136300,140000,120000,133900,242800,186400,234500,283900,81700,155600,183600
Dec-08,107600,289900,194400,99900,375900,227100,268200,230100,181000,149500,542900,180200,179400,113800,111300,116800,113800,124400,177200,285800,311000,105200,180600,111000,134800,183200,118300,209200,233500,332300,180500,254500,150100,134900,114100,95100,241000,151200,243700,135800,140300,119600,133600,241600,185700,233000,281600,81700,155200,183500
Jan-09,107200,290300,191000,99700,370700,227000,266800,229200,177400,148300,537500,178900,177700,113300,111400,116600,113800,124600,176300,282800,310400,103700,179400,110900,134500,183200,118300,204400,232000,329600,180100,252800,149800,134600,113800,95300,239300,150900,241700,135300,140500,119300,133400,240500,185000,231700,279500,81600,154800,183400
Feb-09,106700,290700,187500,99600,365400,226900,265100,228000,173700,147000,532300,177500,176000,112700,111500,116600,113800,124900,175500,279600,309600,102200,178200,110900,134200,183300,118400,199300,230600,326700,179600,251300,149600,134900,113500,95700,237600,150700,239800,134900,140700,119100,133100,239300,184300,230200,277100,81600,154500,183400
Mar-09,106300,291200,183800,99600,359600,226400,263300,226300,169900,145800,527300,176400,174400,112200,111800,116500,113900,125100,174700,276400,308300,100800,177200,110700,133900,183300,118400,194200,229200,323900,179200,249900,149300,135500,113100,96100,235800,150500,237800,134500,141000,118800,132800,238200,183600,228700,274400,81500,154400,183400
Apr-09,105900,291700,180000,99700,353200,225700,261200,224100,166100,144600,521900,175300,172500,111700,112000,116500,113800,125300,173600,273300,306500,99400,176000,110500,133500,183200,118400,188900,227600,320900,178800,248500,148900,136100,112800,96400,233900,150200,235500,134000,141200,118400,132400,237000,182800,227100,271400,81400,154100,183400
May-09,105400,292000,176400,99500,346700,224700,258800,222100,162200,143100,516300,173900,170400,111100,112100,116300,113700,125500,172400,269700,304400,97900,174400,110200,133000,183200,118400,183600,225800,317300,178100,246700,148400,136600,112300,96500,231400,149700,233000,133300,141400,117900,132000,235600,181900,225200,268200,81200,153600,183100
Jun-09,104700,292200,173100,99200,341100,223600,256300,220500,158500,141500,511400,172200,168100,110400,112000,116200,113600,125600,171200,265900,302500,96200,172600,109800,132500,183100,118400,178400,223900,313800,177400,244900,147700,136700,111800,96500,228800,149300,230700,132700,141300,117400,131600,233600,181000,223300,265000,81000,153000,182800
Jul-09,104100,292600,170400,98800,337900,223000,254700,219200,155600,140300,508200,170600,166100,109800,111900,116000,113300,125600,170600,263000,301500,94800,171200,109100,131900,182900,118300,173900,222600,311200,176800,243500,147000,136500,111300,96500,227000,149000,229200,132300,141000,117000,131400,231400,180400,221900,262500,80700,152300,182500
Aug-09,103600,293200,168400,98500,336600,222800,254000,218300,153600,139300,506100,169200,164400,109300,111800,115800,113000,125700,170400,261000,301400,93500,170400,108400,131500,182700,118300,170300,222000,309500,176200,242500,146400,136300,111000,96600,225900,148800,228300,132000,140700,116700,131400,229100,180200,220900,260700,80500,151600,182300
Sep-09,103200,293700,166700,98300,336200,223000,253700,217400,152100,138400,504600,168000,162900,108900,111800,115700,112900,125700,170400,259700,301800,92300,169900,108300,131000,182500,118300,167500,221700,308500,175700,241800,145900,136500,110700,96600,225000,148600,228000,131900,140400,116500,131500,227000,179900,220100,259400,80400,151100,182000
Oct-09,102900,294000,165300,98100,336500,223100,253600,217200,151000,137500,503700,166900,161800,108500,111800,115600,112800,125600,170600,258700,302300,91300,169500,108600,130600,182200,118400,165300,221700,308000,175400,241400,145500,136800,110500,96700,224300,148500,228200,131800,140200,116400,131500,225000,179500,219600,258400,80300,150700,181800
Nov-09,102700,294100,164300,98100,337100,223100,253800,218000,150300,136800,503100,165900,161100,108200,111800,115500,112800,125500,171100,258200,302800,90600,169300,109300,130300,182000,118600,163600,221700,307600,175400,241200,145300,136800,110300,96800,224000,148500,228700,131700,139900,116400,131500,223400,179200,219300,257700,80200,150400,181600
Dec-09,102600,294200,163700,98100,337900,223200,254100,219000,149900,136300,502500,165300,160800,108100,111800,115400,112900,125400,171600,257100,303400,90100,169300,110200,130100,181700,118700,162600,221900,307500,175400,241100,145100,136700,110100,96900,223900,148600,229300,131600,139800,116400,131500,222200,178900,219200,257500,80100,150200,181500
Jan-10,102500,294200,163500,98200,338800,223600,254700,219400,149900,136100,502000,164900,160700,107900,112000,115400,113000,125300,172100,256600,304400,89900,169400,111200,130100,181500,118900,162100,222100,307600,175400,241200,145100,136800,110100,97000,224200,148700,229800,131600,139700,116600,131600,221700,178700,219400,257900,80100,150300,181400
Feb-10,102600,294400,163300,98500,339300,224000,255200,218800,150100,136200,501700,165100,160900,107900,112100,115500,113000,125400,172400,257700,305200,90000,169900,111600,130200,181400,119000,161900,222400,308100,175500,241700,145200,137000,110200,97300,224700,148800,230300,131800,139700,116800,131600,221800,178700,219700,258300,80200,150600,181500
Mar-10,102200,294400,162500,98200,339000,223600,254800,220100,149400,135300,502900,164000,160100,107700,112100,115400,113700,125400,173500,256700,305300,89400,169200,113100,129900,181800,119100,161200,222200,306800,175200,241000,145100,137400,110000,97400,223500,148800,231100,131600,139700,116500,131500,220900,179000,218900,256800,80200,150500,181600
Apr-10,101400,294700,161100,97600,339100,222700,253600,223600,148000,133700,505000,161500,158500,107400,112100,115300,114600,125200,175300,252900,304800,88100,167500,115400,129400,182800,119200,159600,221500,304000,174600,239300,144600,137600,109900,97400,220900,148600,232000,131100,139900,116200,131400,218600,179600,217700,254300,80200,150000,181900
